Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
118544	-7,80180180180163	22,7027027027036	æ s k    	ɨ̃ ɣ ẽ d̪    	ɪ f tɕʰ    	w eɪ ʈ e dʲ    	s ɳ f a a r    e̞ g ɬ ʈ aːi tɕ    		tsʰ m ə ɑu    	a k r    	i r m    	dʑ ⁿd ʌː ɖʐ    f ə kʰ kʰ    f k ɑu k    
142153	-19,9639639639638	32,1621621621631	pfʰ ɑː pʼ    	ðʲ ɨ o r    āː e ʈ tˤ    	ɦ ɛ̱ r    	w n ɑˑ ɛ̃ m    	au bʰ a̤ː m ɦ r    	ɔ̃ t̪ r r    	ʀ õ ʃ õ    rʷ ɑ lʲ ɑ    	ŋ̩ au r    b ɔˑ r    ɔˑ w ɧ    a mʲ dʷ    	r ɛ̱ m    i r ʋ    r ɛ̱ m̥    	ɦ au t̪ r    
116595	-0,144144144143975	25,4054054054063	tː ĕ ts    d̪ iː f    	tː aː iə d̪    tː ɨ a̱ mː    	o nʱ tː    	n ⁿdz o ɪ m    o kʼ ɕ e bʰ    t o ɛ̃ dʒ pf    	tː ɔ ŋ iˑ nʱ d̪    	cː t̪ øː r    	ɨ tː xʷ ɨ    b pʰ ə ə    ʂ ɑ˞ r ɑ˞    	ɔu ts d̪    ɑ̆ w cçʲ    	ʐ i ŋ    ɨi r ʡ    	pʰ ɔ nʱ tː    
89852	-14,1081081081079	19,5495495495505	θ aː w    	a̤ː o tsʰ r    ɔ s a̠ ⁿts    ɔ s a̠ ⁿts    	n̩ ɜ tʼ    d̥ əu ç    	o bʱ r a̤ː m    o w ũ fʰ ⁿd    	sʰ uɔ m u n̩ r    o s o ɴ̩ p ɡ    	qʼ tɕ iɔ pʰ    	r sʰ u u    s ħ a̹ a̹    ʄ r u u    	z uɔ r    	i r m    	sʰ n̩ uɔ tʼ    
124320	-0,594594594594425	20,0000000000009	ɯ ʈʰ pfʰ    	ɘ ã kː kʷ    	ʒ ɯ l    	ʈʂʰ ẽ̞ gː sː    	gʱ ʈʰ a u ʒ pʲ    r s f au ʌː sː    	a ʈʰ ʒ l    	u v̩ ʈʰ u    	pfʰ a gː    	ˀm ɯ gʱ    i r r    	u f j ɧ    
78291	-32,5765765765764	22,7027027027036	ou s nˀ    	ʄ ɑ̃ː o d̪    	s i m    	w o ø ȵ m    a̤ː w pˀ uo m    	s ɓ ɨː s ø d̪    	ɦ m ɐ̆ d̪    	a l̥ m õ    	w ɨː d̪    	i r m    	s ɨː ɦ m    
142152	-23,1171171171169	16,3963963963973	sʰ e˞ bˠ    	sʰ ă iə t    	f e˞ ŋ    əː pʰ k    	iə w e̱ ɤ̱ rʷ    	ð l̥ ɨ ɑ̃ pʷ ɹ    	k k ɔɪ t    	ɛ̃ sʰ t ɛ̃    u bʱ ŋ̩ u    ɗ ŋ̩ ẽ ẽ    u t ˀɲ u    	ɛi ɗː t    	ɑ t rʷ    	ʃ f ə̆ jː    ⁿts f ɑ ⁿts    
134272	3,45945945945963	37,5675675675685	mː aːi ɔ    ɔ̆ nː w    	eː l    sʰ əɯ    u s e̠ ɾˠ    s u ɔ̆ ŋː    tʲ o aː ʒ    	ɑ˞ ɧ    	s k əɯ χ    	aːi zʲ ɔ    ʊː tɬ χ tɕʰ ɛ̤ l    aː ʂ dz ⁿdz e̠ ɕ    a ɽ m ẽ d ʐ    s aː sʰ f ũ x    ɑ s ɳ ẽ ɕ ɗ    	zʲ ŋ̥ ũ    p͈ ø gʱ f    cː s u pʲ    	v zʲ oː    ɑ˞ ʂ r ɑ˞    ɗ sː iː iː    ʈʂʰ u s u    	ɔ vː uː    t əɯ dʷ    	ɔ̆ ʔ z    ãː r r    r i v    ɨ p ʈ    ʊː m tɬ    	t̪ː əɯ l̪ˠ tʼ    ⁿdz r ɛ əɯ    ɳ eɪ wː k    
72753	-17,7117117117115	17,7477477477487	lʲ ui w    	õ ˀj e wˀ    f ɐu ui d̪    ˀt ɐu aː d̪    tsʲ æ̃ ei r    	d̥ ui cː    	w õ ʈ e dʲ    w ʌ̃ ʐ e˞ tsʲ    w õ e ʃː n    ɔ e w n ŋ̩    ʒ n ɨ əː ɮ    o w n ɤ ðʲ    	ɬː ɔˑ nʲ f ã r    	k j ø t͈    ˀm ˀŋ ɐ n̥    	lʲ ɨ w ɨ    	w a pʲ    	tɕʰ i ɖ    ʈ ɻ ɐi cː    r i l̥    	lʲ d̥ a cː    ʈ ɻ ɐi cː    
116592	-3,29729729729713	34,8648648648658	ə mˀ i    	ʊ̃ ʈ    	ɧ iu    	ʊ̃ qχː ʈ h    	ə ʮ i    aːi w ã    	ʎ ʮ ɯ    gʱ p͈ ø d̪    	ʮ v au    u b̥ ŋ u    	ɔ vː a    	r i d    	yː ʎ dʒʰ a    
86779	-23,1171171171169	24,9549549549559	s i w    sˠ u f    ẽ ɸ w    	o tsʰ ə tsʲ    ɹ o ɯ̃ ɡ    sʰ iə ă r    	i f k    	e w e n b    	s ɛʊ b u dʑ r    	l e cː r    l̪ˠ e̞ cː ȶ    nʱ ⁿts o ñ    	m s u u    b̥ dʒʰ u u    	ɔɪ w r    	cçʰ u ɣ    	l e dʑ cː    ʃ f ə̆ jː    
93016	-31,6756756756755	28,108108108109	b̥ ʊː ȶ    	b̥ e o lː    øː ɑ l̥ r    ɗː o ĩ d̪    	g ă β    ñ ʏ ɖʐ    	wʲ e̱ tː e t    	ɣ o̞ g ɣ ɛ̠ j    u ɭ m u ɭ v̩    	e̱ kʲ ŋˀ ŋ    ʔ ɸ ə ʃ    ɖ u ⁿs t    	ɣ j iː iː    	dʑ a nː    	j ă ɣ    	ŋˀ o̞ g pˀ    mʲ ao ɭ ɮʲ    
114719	4,36036036036053	6,4864864864874	r ə̃˞ ãi    	eː bʲ    o ɾʲ ɔ̃ h    	ʉː ɧ    	ʊ ɢ pʰ rʲ    ɐu x pʰ rʲ    ɔu w œ β ȶ    ⁿtʰ o e˞ lʲ m̩    ɕʲ ˀn eu o ɭ    	ʐ ə̃˞ ẽː    iː cː æː    ɽ s ɑː f ə̥ r    	ʐ ʁʷ uɔ    	v ʐ ɯ̃    	ẽː ˀm e    	ɭ ɑˑ m    ə̃˞ ʁʷ ʁʷ    	dʑ ɑu j k    f ɤ dˤː kʰ    f c ʉ ʃ    
140301	-6,90090090090073	34,8648648648658	tɕ ui t̪ː    	v̩ ă ɑˑ c    	i ɾˠ cː    	ɕʲ dʑ ɑˑ eu ð    	ũ ˀl ʰk kʷ iu tɬ    o̞ː ŋ ɾˠ ʌ̃ sˤ r    r ˀl v̩ ʌː au sː    	uː ɾ c xʲ    ʔʲ t̪ː ă    	xʲ v̩ ɑ a̤    ˀl ɐ ʁ oː    æ̃ ŋ r ɑ̠    	ɕʲ ũ tɬ    ā ɭ n̩    	f aːi c ɾ    r au sˤ    ɨ p m    	f aːi c ɾ    ɯ̃ r ˀt oi    ŋː f iː ɗ    
140300	3,00900900900918	37,5675675675685	ĩ m w    	ʕ o ɔˑ ts    	ã ʒ ɬʼ    	ħ qχ æː o ʔʲ    	eː ȵ ɔ̃u    l ɔˑ t̪ m u ʃʰ    	t r aˑ    	m ɗ ɔ̃ː ɔ̃ː    	tː oi a    a ɕʲ ⁿg    a ɕʲ ⁿg    a ɕʲ ⁿg    	ɛ f qː    ʈː au m    	o̞ ʈ f a    s ĩ ɓ l̥ː    
136238	-23,5675675675674	33,063063063064	pfʰ ɑː pʼ    	ðʲ ɨ o r    	ɦ i r    	w n ɑˑ ɛ̃ m    	au bʰ a̤ː m ɦ r    	ɔ̃ t̪ r r    	ʀ õ ʃ õ    	ŋ̩ au r    b ɔˑ r    a mʲ dʷ    	r i m    r i m̥    	ɦ au t̪ r    
138255	-17,2612612612611	28,5585585585595	ɵ d̥ ɸ    ɓ ə t    ˀd æˑ w    	dʒ yː a ɻ    pˀ ɐ    o əɯ ˀd b    lˠ a    ʈ ɛ    aʊ ɔː ⁿd t̪ː    	f i dʒ    ŋ ʉː    ui ŋˀ tsʼ    k œ ŋʷ    	t ɛ a ɥ t    t ɖʰ ɛi o̞ː bʲ    	t ɔˑ dʒ u f ɻ    ã l̪ m f ɑ̆ qʰ    l ɔˑ ɣː cçʰ â ˀb    n̥ əi s gʷ ɔ l    	ʥ bː ɪ̃ k    tɬʰ v ɐi    	u dʒ j ɛ    	t ɔˑ ɻ    o t r    	f ɛ̠ ˀb    n e̱ tsʼ    aɯ f ñ    lʷ o̞ ʡ    u ʒ n əː ɮ    ɖʐ i m    	ɔˑ t f dʒ    
79614	-15,0090090090088	21,3513513513523	ø ʑ ɦ    	β ɨ̠ o xʲ    	β ø kʲ    	o bʱ xʲ ɨ̠ m    	ʑ ɛː β m i xʲ    	õ cː ʑ xʲ    l̪ˠ ai tɕʰ ȶ    t̪ cː ə ȶ    	xʲ ʑ i i    ɕʲ c ĩ ĩ    	ɦ ɛː xʲ    	r i m    	õ ɣ j pf    
140299	2,55855855855873	12,7927927927937	ɒ sˠ ˀb    iː ŋ f    	s ə o pʰ    tɕ u ɰ u    o s œː pʲ    bʲ eː    tɬʼ u    	ɒ dʑ k    i f ɕʲ    	ʎ í ɕ a n    χ n œː ø ʈ    	ɛˀ ȵ sˠ dʑ ə̃ d̪    aː s tsʲ sˠ u kʼ    n̪ ɛ sˤ f u d̪    s e˞ m ø ʈː c    n̪ ɛ sˤ f ĩ̟ ŋ    ɔ s ŋ iˑ nʱ ʁ    	nʱ ⁿts o rʷ    ⁿdz ʐ uɔ    	ə̃ sˠ r ə̃    r z̩ i i    rʷ r ɑˑ ɑˑ    	ɛˀ ˀb d̪    	d̪ʰ i m    ɑˑ p m    	ð ʁ ə cː    cç nʱ ɔ s    
109153	-4,64864864864848	36,6666666666676	s ẽ rʲ    	ɖ e̱ ʌ̃ ʝ    cç ɛˑ əi r    	cçʷ i ʃʲ    	bβ ũ e̱ ʃ m    	l ɔˑ f m u tɕʰ    	w j ãː ŋ    ou r m    	ɡ œ ts œ    	kʼ ou ts    	ou r m    	f oi h b    
110941	-3,74774774774758	19,0990990991	i t͈ ʎ    	tɕʰ ɤ ɛ̃ d̪    o s œː pʲ    o ɸ œː pʲ    ɑo s a̤ː ɕ    	fː aː k    	k ɔ sʲ ɛ̃ sˤ    o ɕ kʼ e bʰ    n a̹ e kʼ bʷ    	ɔˑ t dʒ u f ɻ    s͈ m ø f ɘ r    	ʃʰ v ə˞ d̪    ⁿd o nʱ rʷ    y β jʷ r    	rʷ ⁿtʰ ɔ̃ː ɔ̃ː    s ħ a̹ a̹    	dː a ʈʂ    	b̥ ɔ v    aː ħ ħ    kʰ ɒː kʰ    	w f ĩ̟ cː    v dʲ a cː    
79613	-0,144144144143975	41,6216216216226	ə̃ː s w    	iː yː s d̪    ⁿɢ uˑ u d̪    cçʰ ĩ eu dʑ    oː iə v̥ θ    	i f cː    ɬʼ ɯ k    	n w o̞ː ɑ̠ w    ç dz ø ui ʐ    	s ɑ˞ m f i̱ ʥ    s aː f mʲ u d̪    t ɐu ɔ    ɑ s ɳ ẽ ɕ ŋː    	k kp o̞ː dʑ    v s̪ ɔ̃ d̪    	s i̟ ð ɯ    s ɟ u u    s æ ŋː æ    	æ w dʑ    i ɱ ĭ    õ w pʲ    	ɕ ɯ j    æ f ʂ    ai ʃ m    aˑ ʑ m    	kp æ ɭ ŋː    s ĩ ɓ l̥ː    
138254	-2,84684684684668	12,7927927927937	dʑ aɔ kː    n iː f    	ɲ o ə tʰ    ɛ ʑ    	iə rʲ k    	uɔ kː b au m̩    	e̠ dʑ f m aɔ β    	tʰ b o pʲ    ɕ l̩ o v̥    	v ʐ ʏ    	kː iː tʰ    	m̩ eˀ g    	g̊ r ɑ k    ŋː qʼ ă χ    
120434	-17,2612612612611	21,8018018018027	a˞ ʈː ȶ    i kʷ ⁿtʰ    	ȶ e e ˀd    	tɕʰ i̘ fː    ɖ uɔ ç    	t o j̃ o l̥    ɲː ɤ ʊ n j    ɲː ɤ ʊ n j    ɑ w s o ɕʰ    	ɲ ə m f u d̪    	k ʌː j l    ʔ ˀŋ ə n̥    	u p r ɯ    	ʌː ȶ l    	aːu r s    	β ɔˑ tɕ ʃʼ    
130377	-9,60360360360343	17,2972972972982	iː bʱ ũ    	bʲ eː    ʈ ɛ    ɑ̃ tsʰ ɯ r    o ɹ ʊ r    	ʉː tɕ    i dʑ k    	pʰ ɐi s rʲ    	ʐ iː ɯː    sʲ θ ɔ̆ ə̥ f r    	ʐ ɖʱ uɔ    	v ʐ ɯ̃    	ɯː ˀm e    ɗ a c    	ɭ ɐi kˀ    r ɐ̃ː m    	ŋ ɒ t̪ m    
142151	-12,3063063063061	29,4594594594604	ɥ i ɴ̩    i kː dʲ    õ̞ s w    dʱ i rʲ    	ɑˑ oː ɥ n    o s ɑˑ dʲ    s i aː r    o̞ e̱ ʋ r    e̱ tʰ e tˀ    	i f ʁʷ    χ ɔː ⁿd    i l k    i fˠ ɭː    d̥ uː cː    	o kː əu n m    o t n ə m    	i̱ s χ m y rʷ    	t̪ ø̠ cː b    j i k t͈    ɡ ɑ̃ ɕʲ ɗ    cː o ʋ r    s bʰ ɪˑ pʲ    	ɥ ⁿts u u    t̪ u ɲ̥ u    	ɔˑ ɴ̩ n    w ɛ̱ dʲ    ũ ŋ̩ r    	ŋ i tsʼ    h ɛʊ ŋ    	f ɔˑ k ʁʷ    x u f cː    mˀ f ɔˑ b    rː ⁿdz a̱ lˠ    
4065	-8,25225225225208	13,6936936936946	i ˀŋ nʷ    	o s ã m    	u k jː    	g á r̃ a t̪    	ʊː ʈː m tɕʰ ĩ l    	ɬ ɬ œ m    	s ʟ a̹ a̹    	ɨ̠ rʲ ħː    	ħː ɪ fˠ    rʷ e̞ sˤ    r i v    	g ɣ u ʂ    
142150	2,55855855855873	14,5945945945955	m̊ ŭ w    	o æ̃ tsʰ r    	ɯ̃ ɧ    	oi s w rʲ    mˀ tˀ ɑˑ o ŋ̩    ɜ n uː ʁ m    s ɛ l sː    ɜ n uː ʁ m    	ɹ a ŋ̩ f i̟ r    	r ɦ uɔ    	u n̥ r u    	aˑ ˀm e    	ɑˑ p m    	n̩ i p t    dʱ ʁ ə cː    
130375	-27,171171171171	26,3063063063072	s oːu w    	ɪ s e gʰ    	oːu f ts    	ʁʷ ɪ n e n    	s ã f cçʲ aˑ b    ð l̥ ɑ̃ ɨ pʷ ɹ    	ts e ts gʰ    	aˑ s v aˑ    	ɔˑ ʁʷ gʰ    	gʰ oːu n    j ă ɹ    	ŋˀ ə g ʜ    
140298	-6,45045045045028	22,7027027027036	iː d̪ f    	ɯ̃ r̃ ou d̪    mʲ e ē pʲ    o s aː gː    bʲ eː    o ɪ ⁿt pʲ    	f o cç    ʃː ɔu cː    	w ou l ĩ ɡ    lʲ e ì dʑ m    lʲ ì e dʑ m    	dʱ ɖː m i̱ aːi kʰ    sʲ θ ɨ ə̥ f r    ʑ uː ɔ    	cː t̪ o n    	aːi dʱ k aːi    u dʱ bv u    ⁿt r u u    	a kʼ r    	pf iɪ m    	g tɕʰ ʊː fː    f j a ɹ    ð ʁ ə cː    
83760	-2,84684684684668	14,5945945945955	iɛ ʑ z    ȵ y ʌ    	tsʰ øː e̠ fː    s ə ɒː m̊    	d̪ iɛ cː    	ⁿɢ z ɛ̃ ø m    ɵ n ɪʊ n m̥    	ə h cçʰ tʰ ə g    qʷ e̠ tʰ bˠ u g    	ĩː cː ʑ cçʰ    s j ə m̊    t̪ cː ɛi bʰ    	cçʰ ʑ u u    u β r̃ a̹    b̥ s ʌː ā    	z u fː    ɔˑ w ʔ    	ˀm ɯ gʱ    ɔ: ˀl ɓ    lʲ ə ʃː    	j dʲ y k    ɯ̱ aː̈ ɾʲ    ʈʂ j ɔˑ k    t̪ tʰ əː cː    tʰ c ʉ ʃ    
118540	0,306306306306476	32,6126126126135	pˀ ʏ ɑ̠    	ɛ̃ ə s χː    əi cç ɛˑ r    ɔ̱ ɛ̃ s ɖː    	i nː vʲ    aˑ f ɢ    ŋˑ uˑ tsʼ    		s uː m nː ɔˀ ʕ    nː aːi ɔ    s ʌ ˀm m ə̃˞ s    	a vʲ dʲ r    	ʌ s r ʌ    s æ ɳ ui    ʑ r u u    	w uː r    	b i lˠ    	aːi ˀt r a    
142149	-1,49549549549533	27,6576576576586	eː ʃ ɵ    h eː ɵ    xː i w    	w̃ eː    tsʲ ə̤ æ̃ m̥    i̱ ʀ    	d̥ ɔ̱ cː    	w ɯ ɪˑ ˀɣ m    dʒː l œː ɔ̃ː m    	t eː ɵ    m z̩ ɤ̱ ɛ̃ u pʲ    cçʰ e tɕʰ nˀ ɔ̃ː t̪    ɡ ɑː aˑ    	j t õ    	t v aː    	tː oi a    m ɔ pʲ    	f ɛ m    n i tsʼ    	tɕ ts ɛˀ ɕː    ʁ ð ə cː    ʁ ə ð cː    
86777	-24,4684684684683	30,3603603603613	iɛ pʲ ɲ    	ɑː rː ɔ̆ r    	ɨˤ β cː    	o ⁿtʰ n ṳ hː    	ʔʷ pʲ ʎ uɔ u r    	ɛ cː pʲ r    	r u pʲ ɛ̤    u hː v u    	ou ɲ r    	a dʲː ʒ cː    	pʲ β ou cː    g ʑ uɔ cː    
140296	3,90990990991008	9,63963963964055	a̠ tsʰ ɾ    	a̠ dz ɨ ŋ̩    ɤi ʑ ɨ gʱ    ɓ iɪ    w̃ eː    	f āː ɕ    ɧ ɐu    	j iɪ tsʰ sː    	sʲ ʉ ɔ    á mʲ m ɐː f tɕ    a ɽ dʑ oˀ n̪ j    	ʂ tsʰ æː ŋ̩    ei p͈ gʱ b    	pˀ sʲ ɔ    	ə̃˞ ɾ ŋ̩    ɔˑ tʰ lʲ    	f o m    	ə̃˞ tsʰ jˀ ʂ    
89847	-2,39639639639623	39,3693693693703	dz iɛ ɳ    nʲ i ʋ    	β o oi v    ə s a ʂ    s ə a r    æ ũ ʥ pʰ    æ ũ ʥ pʰ    q y ɛ̃ ʃʰ    	iɛ β pʰ    ȵ aˀ ɴ    	bʱ oi o v m    s ɛ l sː    	dz ɔ m β ɒː v    ɑ s ɳ ẽ ɕ ʕ    s i ʎ f u ʃʰ    p ɪʊ ts u tʲ ʃʰ    	õ pʰ dz v    d r uɔ    	v ɒː dz ɑ̆    a̱ ɕʲ ˀd a̱    s ɯ̃ ʕ ʌ    u s r oː    	ɔ ɳ v    	dz ɔ β cʰ    t̪ː uɔ m    f ɨ r̃    	ⁿd ȵ a ʕ    vː f e tʰ    
46800	-15,9099099099097	26,7567567567577	ɥ i ɴ̩    i kː dʲ    õ̞ s w    dʱ i rʲ    	ɑˑ oː ɥ n    o s ɑˑ dʲ    s i aː r    o̞ e̱ ʋ r    e̱ tʰ e tˀ    	i f ʁʷ    χ ɔː ⁿd    i l k    i fˠ ɭː    d̥ uː cː    	o kː əu n m    o t n ə m    	i̱ s χ m y rʷ    	t̪ ø̠ cː b    j i k t͈    ɡ ɑ̃ ɕʲ ɗ    cː o ʋ r    s bʰ ɪˑ pʲ    	ɥ ⁿts u u    t̪ u ɲ̥ u    a s w a    n d̪ ɪʊ ɪʊ    	ɔˑ ɴ̩ n    w ɛ̱ dʲ    ũ ŋ̩ r    	ŋ i tsʼ    h ɛʊ ŋ    r ĩ̟ d    r y nː    	f ɔˑ k ʁʷ    x u f cː    mˀ f ɔˑ b    rː ⁿdz a̱ lˠ    
134263	0,306306306306476	35,3153153153162	ɬ ɐu ɹ    	ṽ a̤ aː r    î o̱ l̪ˠ tɕ    ʊː g̊    	g̊ i ɲ    	n ɣ aˑ o m    	ṽ ɔˑ uɔ m ɖʰ r    	ŋ̩ ŋ̩ ă r    kʰʲ kʰʲ ɜ ɣ    	ʀ ɑ̃˞ z ɑ̃˞    	ʉ w r    	n̪ i m̥    	ɔˑ ŋ̩ ɖʰ ŋ̩    v ʊː k dz    
138250	-2,39639639639623	17,2972972972982	dː aːi ɔ    i r̃ w    	ui ʒ    s ə ɒː tʰ    ʊː g̊    eː bʲ    	ɑ x k    ɧ ʉː    	ɕʰ oi s rʲ    pʼ ȵ oˀ oː ʀ    ɗ o ŋ e c    w ə tˀ ɛ̃ m    uː g̊ ts ɾ    w ɛː ʑ ɔ tɕʰ    	á mʲ m ɐː f ɖː    e̞ hː ɪ    ʊː ħ χ ɔ̃ː tɕʰ ɾˠ    t əɯ ã    	k kp o̞ː β    ʐ gʷ uɔ    	v t oː    u˞ s ⁿdʑ ɯ    ɓ eˀ ʋ eˀ    v ʐ ɯ̃    	æ w β    ə w r    əi ⁿs ɬ    ɔi nː rʷ    ɱ a qχ    ɑ tː a    ʋ ɐ̃ w    	ɨ̃ ʒ ʈʂʰ    ʒ o m    i ð dʑ    ɑˑ ɭ m    	kp æ ⁿd ɗ    ʈː ʀ ɛ̤ k    l yː ʋ a    f v ă mː    ʒ ẽ ʐʷ ɳ    ɤ ʒ ɸ d̪    
142148	4,81081081081098	18,6486486486496	ṽ oːu b    	ɯ u̘ s mː    tsʲ ə̤ æ̃ m̥    	oːu ɖʰ k    ɛ̤ m ɖ    	n b ɛi o m    mˀ a̤ː ɪ̃ d̪ʰ ŋ̩    	ṽ ɔˑ m uɔ ɖʰ r    	kʰʲ kʰʲ ɑ̃ b    t̪ cʰ o r    o ʃ ʃ p    	ṽ z uɔ uɔ    	b ɔˑ r    ʉ w r    		ʉ kʰʲ ɖʰ kʰʲ    
107264	-15,0090090090088	15,045045045046	ṽ oːu b    	ɯ u̘ s mː    oi rː a n̊    ɑˑ s o r    	a f ʃ    	tsʼ b aˑ o m    u ɟ əː n ɮ    	ɔˑ ṽ m ɖʰ ɨ̃ ȵ    s ɔˑ cçʲ f ɐ xː    	kʰʲ əu kʰʲ b    ʔ ˀŋ ə z    	s b̥ u u    ʈʰ t ẽ    v t i    	w ʉ dʑ    	dʑ oːu m    y ts m    iɛ r nʲ    ɛˀ r s    	cç ɔˑ ɖʰ cç    ʉ ɖʰ kʰʲ kʰʲ    f v ɛ ʃʰ    f χ ũ χ    f ⁿts ɑ ⁿts    f c a c    
138247	0,756756756756926	32,6126126126135	s i m    	s ã eu ɕ    ɔ̱ ɛ̃ s ɖː    	ŋˑ uˑ tsʼ    ɧ ɐu    	w eu ã b m    kʰ n õ iˀ m    	á s m v ɤ ɕ    	m ã ʁ ɕ    tɕ tɕ u    	r tɕ ũ ũ    	kʰ ĩ ɗ    	t̪ i m    ⁿdʑ o̞ tʼ    i ʔ j    aˑ s m    	aːi ˀt t̪ o̞ː    ã j j ɕʲ    bʱ yː f a    
82361	4,36036036036053	41,6216216216226	hʷ i lː    u tʰ m    	ʈ ɛ    o̞ː o d t    	ʒ iɛ cː    	ɑˑ lː ɕ ɤ ɾ    eˀ ð hʷ sː    ɟ ə̆ õ bʰ mː    	hʷ sʰ ɔˑ ɭ ɐː ɖʐ    cçʷ a s ȵ ɨː r    ɑ s ɳ ẽ ɕ ɗ    	ɑˑ kp ʈʰ ɖʐ    	hʷ ð ʊ u    t hʷ ʏ    u hʷ b̥ ʏ    ɗ ɨ̃ gʰ ɨ̃    	lː ɔˑ ɖʐ    	i ð ɾ    ă ç ʒ cː    	kp f ɔˑ c    
16943	-27,6216216216214	32,1621621621631	dʲː ə ⁿtʰ    	u̥ əi l̥ tsʼ    a e s ɭː    ts ɛ̃ o ʝ    c ʏ o n̥    ɯ s e ʃ    	ħ ou cː    	rʲ əi mː ɔi m    	l̥ uː m f ɔ̃ ɸ    s ˀp tsʼ aːu ʊ dz    	kʰ o tˀ nː    kp m ø m    k k o t̪    	ɨ̃ s χ ɑi    ŋ̩ ɗ ẽ ẽ    	ɤ rʲ ɸ    	z iː χ    ə z χ    	ʀ f a tɕʰ    
110938	-1,49549549549533	20,4504504504514	ɑː s pʲ    	ʌ̃ n ɨ̃ ɣ    	f ŏ ŋ    	ʌ̃ w t aɯ z    	uˑ d dʰ s u mʲ    e̞ ⁿts ɪ    	k o̱ t̪ mʲ    	m̊ ʄ u u    	ʋ ɛ˞ dʷ    	r ɯ ʡ    d œ w    	r̃ a ʁ cː    
142147	-1,94594594594578	16,8468468468478	r iː a    ȵ eˑ ʌ    	ɓ e̞    tsʰ ãː e r    ʑ o̞    s ɛ̃˞ ʊ m̊    tsʲ ə̤ æ̃ m̥    	ui m    	ɛ̠ s pʰ ʁ    ɕʲ ˀn eu o bʰ    	dʰ iː a    ɕʰ ă mː ə ɕ z    iː ŋː ɔ    	ɣ r uɔ    ɛ̃˞ s j m̊    	ɣ v a    ʃ r o o    	ˀm a e    	r iː r    	fʰ r yː ɨː    v t̪ʰ æ d    ɕ ʉ f ʃ    
142146	-0,144144144143975	10,5405405405414	sː ʌː ɔ    	ɲ ʌ iː ɣʲ    bʲ eː    tː ɛ    	ʉː ɕː    	lʲ e ì s m    	f m t â õ bv    uː ʑ ɔ    	ŋː ʐ uɔ    	ʐ v ʏ    	ʊː ʈʰ l    	ĩ r kː    ç ø ʁ    d̪ʰ ø ˀp    d œ w    	j tɕʰ a k    ɾ r̃ a dʒ    s ɯ f k    ɸ f ɪˑ ŋː    ʈʂ j ɔˑ k    d b yː ø    
85238	4,81081081081098	5,58558558558649	aː s ˀj    	s ɑo a̤ː ɕ    	ɨ t̪ʰ lʲ    	ɤ̱ n ɐ̃ ɤ m    		ɣ r uɔ    	sʷ ɣ oː    	ɘ d ɑˑ    	ɑˑ f tɕ    	ɸ ŋ i̠ pf    
134259	-7,80180180180163	34,8648648648658	ɒ ⁿd ɭ    	i̠ ⁿd ɨ̃ n̩    ə s ɑ˞ r    í ɛ̃ s ɹ    tʲ i̱ o l    	f ɒ z    yː f cː    ʝ i cː    		s oˑ u ts ʔ ʃʰ    	z ⁿd ɨ̃ n̩    	ⁿd n̩ i̠ i̠    ʰt dʒ ɑˑ ɑˑ    	e w ɗ    ẽ s b̥    	θ œ sʲ    θ ɐ ʃʲ    	ⁿd f iː ɗ    
142145	3,00900900900918	19,5495495495505	e ʑ ɔ    	ʑ uo    ɪ q    	ãː f c    	t ɯ̆ o gʰ gʰ    	ɛ̃ fʰ o    	r t̪ uɔ    	aː ɸ s aː    	t ai r    	vː ɨː ʡ    	ʂ r yː au    
112829	-5,09909909909893	29,4594594594604	iː d̪ f    	ṽ ɐi aː r    	ɑː dʒː ʂ    	zʲ o ʈ e ⁿtsʼ    		t̪ cː ə ȶ    	ȵ u ɭ ɔ̃    	ɔˑ b r    ʉ w r    a z kˀ    	ɐu r m    b i χː    	ɗː iɔ ɾ oː    sː ⁿg aː g̊    
142144	-23,1171171171169	32,1621621621631	s e nː    	ʉ yː tsʰ ŋ    	e tsʰ kʼ    	ʀˀ ʉ s ɑ̆ xʷ    	bʰ o mʲ m u ɤ̱    	k k ʉ v̩    	nː ʈː iˑ iˑ    	iˑ ʀˀ v̩    	ɔ̃ ʔ ȵ    	k tsʰ iˑ k    
116583	-8,25225225225208	29,9099099099108	ṽ uɔ qʼ    	a ɓ    β ɑː ɤ r    	a̤ f ʃ    i f jː    	ɢ aˑ o̞ː qʼ m    w a̘ ɒ ʁ q    ɑi z u ɢ m    	ɛˀ ɬ β sː á d̪    a̱ n̪ f k ɑ r    	cç cç ă r    kʰʲ kʰʲ ɑi qʼ    k r ɐ d̪    o ʐʷ s r    	b̥ s u u    β r á á    ʐ dː ɯ̃    r u fʲ u    	w ʉ r    e w ʀ    ɔ ɯ̱ pʲ    iː w ɡ    	iɛ ʮ m    iɛ ʮ m    kʰ œ β    r i l̥    	ʉ kʰʲ ɖʰ kʰʲ    r ɛˀ sː k    ⁿg sː a g̊    ɛ̃ĩ s ɡ cː    
