Lang	Latitude	Longitude	ALL	ASH	BARK	BELLY	BIG	BIRD	BITE	BLACK	BLOOD	BONE	BREAST	BURN	CLAW	CLOUD	COLD	COME	DIE	DOG	DRINK	DRY	EAR	EARTH (SOIL)	EAT	EGG	EYE	FAT (ORGANIC SUBSTANCE)	FEATHER	FIRE	FISH	FLESH OR MEAT	FLY (MOVE THROUGH AIR)	FOOT	FULL	GIVE	GOOD	GREEN	HAIR	HAND	HEAD	HEAR	HEART	HORN (ANATOMY)	HOT OR WARM	I	KILL	KNEE	KNOW (SOMETHING)	LEAF	LIE (REST)	LIVER	LONG	LOUSE	MAN	MANY	MOON	MOUNTAIN	MOUTH	NAME	NECK	NEW	NIGHT	NOSE	NOT	ONE	PERSON	RAINING OR RAIN	RED	ROAD	ROOT	ROUND	SAND	SAY	SEE	SEED	SIT	SKIN	SLEEP	SMALL	SMOKE (EXHAUST)	STAND	STAR	STONE	SUN	SWIM	TAIL	THAT	THIS	THOU	TONGUE	TOOTH	TREE	TWO	WALK	WATER	WE	WHAT	WHITE	WHO	WOMAN	YELLOW
7906	-4,64864864864848	143,423423423424	v r au tʃ k ɔ    	p i̠ p ṳ ts    	ɔ k ç ɯː    	k ɔ ç i̠ m    	dz ɔ ʎ ɯː m    		v ⁵ oː k oː ⁵    	tʃ ṳ ç i̠ n    	ð ẽː ɾˠ    	ɔ k r t    	ə s ɛ̃ p    		k ɑ ħ ɾˠ    	c u ʄ u t    	r t u d i̠ n    	d ɔ ɖ d ɯː    	u m ç ɯː    	u k tʃ ṳ    			u x ɔ    	ɴ i̠ ʂ ɯː    	ɖ ɯː m    	ð ä k pf ai ð iɪ dʲ    	ẽ x ɴ    				χ i pf    		x v ɤ ç tʃ ɯː    	q iˀ l̥ ⁵ ɒː ¹    	p ɤ h i̠ n    	d ɯː m    	j ɛ̃ p    	ɴ i̠ h ṳ n    	ai χ ai pʰ χ    	ʊ̃ ɕ n̥    	dz dʲ ɯː v ɯː    	dʲ ẽː pf c t iɪ ə    		ʊ̃ t̪ː aɔ t    		ʌ c    	t̪ː ʊ̃ ⁵ θ    w ɑu ⁵ t    		v ṳ dː ɯː    	ṳ h r t    	h i̠ ts ɯː    	tʃ ṳ ç i̠ n d ç ɔ p    	χ ä n̥    	w̥ i ⁵ n i ⁵    	ɬʲ aɔ t n aː̈ k u    		iˀ mː ¹ n ʂ ɑu ⁵    	ç ɔ m    	ʈː œ θ ɒː ⁵ ∼ ¹    	n ɔ r    	s ɛ̃ ʈʰ a ⁿs    	k i pf iɪ pf    		¹⁵ dʲ i sʲ    	n ɔˀ    	a̱ f    	tʃ ɔ v i̠ m    	nː aː ⁵ ʔ ɑ ⁵    	ṳ tʃ ç v i̠ n    	ɔ n̥ ˀp ɔˀ    	aː̈ sʲ çʰ    	k ç ɤ dz ɤ ts    	v̩ ɯː ˀp ɤ m    	ʮ ai pʰ t a pˤ ə    	v ṳ dː ɯː    	ɖ ɯː ɖ ts ɔˀ    	ʏ c iɪ s t ə    	a r r    	v̩ r ɯː    	m ɯː dʲ ɤ m    	p u i̠ n̥ k    		ⁿt aɔ ʄ ei d ɾˠ    	k ɯː m ɤ m    	r dʲ ɤ n ts ɔˀ    	h i̠ zʲ ɯː    	ɔ p ɯː n̥ k ɯː    u r t ɯː    	n a dː aːu pʰ i    	ɔ t ɴ au    	t au    		ɤ ɴ p    ʈː œ θ ɒː ⁵ ∼ ¹    	d ɤ ç v ɔ    	d v ɯː    	x ɔ dː ɯː    	ɕ i t̪ː k    	n uː ɕ    	k ɯː v k ɔ    	bʲ ɯː ts    n ʊ̃ t̪ː i    	k ɔ ɖ    	a v̩ ɐi ʄ    	ts ɤ dʲ t    
1977	-2,84684684684668	132,612612612613	kʷ u r pʼ m ɑu ɨː    	iɪ kʲ ⁿs    	g r ei u    	kʷ r ø ɑu ɭː    	b ia j iɪ bˠ    cç ia ɻ u tɬ    			ŋ̥ r ɒ ɵ    	ŋ̥ ɑː k    	ia j ʡ u bˠ    	ʌː m tʃ ɪ bˠ    		ɲ u r pʼ ɒ ɳ    ʏ kʷ gʱ    		ɑu ɠ ɯ s ŋ̥    	kʲ ei ⁿs m ø kʷ    		cʰ a    	ŋ̥ r ɒ ɵ    	ŋ̥ ɯ ʎ u ʂ    	kʷ ia bʱ ai kʷ    	ɨ̃ r    	ɑu g b u ⁿs dʱ ø kʷ    	g ia g iɪ ɭː    	ē k v    	m ãː n    	ɪ ɖʱ r    	mː ɐ    ē ɓ    	b bʱ ɪ ɑu kʷ    		tʃ iɪ m ø kʷ    	ɛː ɛː dʰ pfʰ    	ɐ g ⁿs ɨː    	ei b r m ø kʷ    	ãː s tsʼ    	n ɑ ɐ ʎ dʒ    	ai ʡ tʃ    	ŋ̥ ē sʰ    	ai b b    	ʌː b ɑu m g ø kʷ    	kʷ u ⁿs b    	m ia g ɑu kʰ    		m ei m    		ɴ ã ɬ    	cç u ʄ k ɑː tɕʰ    	b u r g    	j ø g ai m kʷ    	b dʰ ɪ u r    	u u mʲ n    	b ɑu kʰ    	ʌː r kʲ u bˠ    	s u ai kʼ s    	ɑu n    	g ai g    	ai u dʰ pfʰ    	ai kʰ    	ʏ b j ɑu ɭː    	j gʰ ɪ u    	g ia ɭː    	ia b r iɪ ɭː    	ɭː ʌː ɪ ʡ    tɕʰ ie dʰ a ħː    	ɐ b ɨː    	ai d u ɭː    		ɑu kʷ ɑ̃ː ts ⁿs    	s tʃ õ ai    	t u pː    	j ia ɪ m bʱ ø kʷ    	ia kʷ ɭː    	j u g m ø kʷ    	iɪ ia ɣ m    k ē r k ɑː tɕʰ    	g ia g iɪ ɭː    			u χ ʄ ɑː k ɑː tɕʰ    	kʲ u tʃ u bˠ    	m ia dˤ u k    	ia r m k ɑː tɕʰ    	j ia d ⁿs iɪ kʰ    	m ɑː n    	kʷ j ia ai ħː    	ʡ ia pfʰ m ø kʷ    l ia z k ɑː tɕʰ    	kʷ ia j r iɪ kʷ    	pʼ ɑː u r b ẽ    	ē b ɑu    	ei ʡ m    		g ɑu ħː    	d ɑ ʎ ɑ vʲ pʰ    d ɑ ʎ ɑ vʲ pʰ    	iː b aː    	ia j r m ø kʷ    ia ɻ r k ɑː tɕʰ    	ãː m ʏ n d    ŋ̥ r ɒ ɵ    	ɑu b pfʰ    	k pʼ u ɑː    	kʷ ai    	k u m    	ɒ ɒ j sʰ    	ʡ u r ɑu kʷ    
5746	-5,54954954954938	145,675675675677			ŋ ɐ ¹ ɐ tsˀ ¹    	ʈʂʰ ⁵ ɛ̃ ŋ ỹ ¹⁵    ʊ b ⁵ ŋ̩ ã ¹⁵    	ʈʂʰ a tsˀ ¹ eˀ ¹    	qχ tˤ i ⁵ o ¹    	nˀ a mˀ n ɐ tɬ ɛ n ⁿtsʼ ɛ ˀŋ æ    			ʈʂʰ eˀ ¹ eˀ tsˀ ⁵    	kʲ ɛ ¹ kʲ ɛ ¹    		ɔ̃ ŋ ¹ tsˀ ʈʂʰ uɔ ¹    	b u ⁵ u qχ ⁵    			b ø̠ ⁵    tsˀ é ¹    		nˀ a mˀ n ɐ tɬ ɛ n ⁿtsʼ ɛ ˀŋ æ    			nˀ a mˀ ɛ ŋ ɛ ɡ    	nˀ a mˀ n ɐ tɬ ɛ n ⁿtsʼ ɛ ˀŋ æ    	w ˀŋ ɛ ɐ t͈    	tsˀ é ¹    	tsˀ ỹ ⁵ eˀ ɖ ⁵    	bˤ ɨˑ    		ɾ u˞ ¹ eˀ s ¹    		ŋ ɐ ¹ ç o ¹ tsˀ    		bˤ ɨˑ    	ɖ ɨˑ    	ʈʂʰ o ¹ ç tsˀ o ¹ ʈ    		m̩ ⁵ ɔ̃ tsˀ ʈʂʰ eˀ ⁵ tsˀ eˀ ⁵    	ɔ̃ ŋ ¹ tsˀ ʈʂʰ uɔ ¹    	əu b ¹ r̥    			¹ m̩ w̥ i i ⁵    			sʲ ɛ̃ ⁵ j    	ç ⁵ uɔ ç    		y ŋ ¹ ʈ s eˀ ⁵    					m ɯ ¹⁵    			j e ⁵ j    	ʒ i ⁵ ∼ ɐ j ¹    	tsˀ ỹ ¹⁵    	zʲ i ¹ n ɨˑ d ¹    	t ɪ ¹ t    	ŋ eˀ ⁵ ç õ ⁵¹ ∼    	æː ɖ ɖ ¹ ɛ ¹    		ˀt eː    	m ɯ ¹⁵    	ɯ zː ⁵ n āː ⁵    	tˤ i ⁵ qχ e ⁵¹ j    		¹⁵ ŋ ə̆ ç    		ɾ ɔ̃ ⁵ tsˀ ɾ ỹ ⁵ ɐ s ⁵    	æː ŋ ¹    	d iː ⁵    		ɣ y ¹ tsˀ y ⁵    		ŋ ɔ̃ ⁵ ɖ    	l ɪ ⁵ t i ⁵ j o ¹ w    							m̩ ɔ̃ ⁵ kʲ ɛ ¹    	ŋ ɐ ⁵ tsˀ eˀ ⁵    						eˀ m̩ ⁵ ŋ ŋ ɔ̃ ⁵    		m̩ ɔ̃ ⁵ tsˀ eˀ ⁵    ɪ z̩ ⁵ qχ i ⁵    	zʲ aː ⁵ n i ⁵    					ɐ ʔ ʋ ɔ̃ ¹    
5542	-7,35135135135118	146,126126126127		ⁿd ⁵ ă s eː ⁵    	mː eː ¹ eː r ¹    	ⁿd ⁵ ʊɪ au r ¹⁵    	n ¹ ə̆ ə̆ t͈ ¹    	ɪ cː ⁵ ʈ ɐu ¹    ʝ ə̆ ⁵ kʷ ɛ ¹    ŋ i ⁵ o r ¹    	l̪ ɛ ⁵ cː ɛ ⁵    		mː eː ⁵ r āː ⁵    	ⁿd āː ¹ r āː ⁵    	ˀt uː ¹ ˀt uː ¹    f ɛ ¹ f ɛ ¹    	n eː ¹ n əu ¹    		ⁿd eː ⁵ eː r ⁵    	ⁿd ũ ⁵ ⁿd    	oˑ cː ¹    	əu ⁿd ⁵    	⁵ h əu n s āː ¹    	h ɯ̃ ¹⁵ s    	ŋ ɔ ⁵ ɹ    	h əu ¹ ∼ ⁿd ʌ̃ ¹⁵    		∼ d̪ ɪ ¹⁵    	θ u ¹ u cː ¹ θ ʈ ɪ ⁵    	m ɔː ¹    	m ə ⁵ qʼ i ⁵    		qʼ iɛ ¹ qʼ ʊ ¹    	t̪ eː ¹ āː s ¹    		āː ˀt ⁵ āː ⁵ r r āː ⁵    		ŋː eː    	qʼ æ    	z ʊ̃ ¹ ŋ̩ n̪ ʊ̃ ¹ ʔ    		h əu ⁵ m ⁿd āː ⁵ r āː ⁵    	cː a ¹ m z o̞ː ¹    i̱ cç ¹ dʱ e ʈʰ ¹    	z ʊ̃ ¹ χʷ    ʊ̃ ¹ z tʰ    	m au ⁵    		h āː l ¹ āː ⁵    i gʰ ¹ vː i ⁵    			iɛ ɹ ⁵ j    	ʝ əu ¹ χʷ uː zː ¹    		mː õ ¹ s ʔ āː ⁵    				zː aː ⁵ ʔ uː ⁵    	m au ¹⁵    		h əu n ¹ t̪ eː ⁵    		⁵ m āː ∼ ⁿd ʌ̃ ¹    	m au ¹⁵    	zː āː ¹ n t̪ ʌ̃ ¹    kʰ aː ˀŋ ¹ dʰ ə̆ ¹    	a t ¹ ʔ    	mː āː ⁵ ⁿd au ⁵¹ ∼    	y ¹ n n ʌ̃ ¹    		ˀt eː    æ ˀt̪    	m au ¹⁵    	au zː ⁵ n āː ⁵    m au ¹⁵    	f i̱ ⁵ sˠ ɛ ¹    		mː au ¹⁵ ⁿd    		t̪ əu ⁵ m t̪ au ⁵ s eː ⁵    	cç ɑi ¹    	t̪ y ⁵    	ɓ iɛ ¹ ɓ ŋ iɛ ¹ r i ⁵    	θ ɛ ʈ ¹ ɛ ⁵    	ʝ ə̆ ¹ kʷ ə̆ ¹    	mː əu ⁵ n    	mː əu ⁵ ŋː āː ⁵ ⁿd əu ¹ ʔ    				ɪ f ¹ l ɪ ⁵    	ɭː ∼ ɔ ⁵ j ˀŋ ə̆ ¹    	mː eː ¹ ⁿd əu ¹ m    	h ⁵ ɯ̃ ə̆ rː ¹    	gʰ ⁵ ʊ r i ⁵    			t̪ ʌ̃ l ¹ ʌ̃ ¹    			ə̆ h ⁵ s ʝ ɯ̃ ⁵    	ɛː ʝ ¹    	h ⁵ əu r āː ⁵    gʰ ⁵ ʊ r i ⁵    				k uː ⁵ ⁿd ɔ̃ ⁵¹ ∼    	dʑ o ¹ j    	ʔ ɔː l əu ¹    
3217	-2,84684684684668	138,018018018019	h a kʷ uː kʷ t̪ a    	v ɛ̃ ʐ    	ĕ g j i    a b uː tɬʰ kʷ    	ɨː ŋ̥ kʷ uː kʷ    	ˀm ẽ ẽ l    	l ɛ̃ t̪    			ŋ̥ ɨː kʷ    	ɸ eː a sʰ v    	ɨ̃ ɭ tʃ e b    ɨ̃ ɭ tʃ e g    		ɣ ʌ̃ ʈʂʰ tɕ a n̩    	b æ ˀɣ a̠ c    		aː̈ v dʲː ɨː t̪ ŋ̥    	w eː ⁵ j    	i c    	tʃ i l ɨː ŋ̥    		ŋ̥ ɛ̃ q ɨː ŋ̥    		qʼ ũ v    	æː sː ˀj ɛ̃ t̪    	s ə tʲ    	ɭ i d̪ː    	ɳ a kʷ    	ɸ ɨː w ɛ̃ ŋ̥    q ɨ̃    			eː tʃ t̪ ɨː ŋ̥    	ɒ aː̈ sʰ ŋ̥    			b ɐi ¹ r j ɐi ¹ w    b ɐi ¹ r j ɐi ¹ w    s ə tʲ    	j a d̪ uː ʐ    	ɒ ɸ tʃ    rː eː rʲ rː    	ŋ̥ ẽː ʐ    	b ɨː ɴ    	kʷ uː q nˀ aː̈ ŋ̥    	ŋ̥ a ʐ b    	t̪ ɛ̃ ɕ uː z    				rː eː rʲ rː    	kʷ uː q nˀ aː̈ ŋ̥    	e kʷ kʷ q    	j ɨː h t̪ āː ŋ̥    		ˀm ẽ ẽ l    		t̪ ɤ ʃ    		ɒ j    	ɯ̃ sː sː    	i f ⁵ j ∼ ɛ ¹    	ˀŋ ɒ    	v t̪ uː g    	j a dː øː    	h ɛ̃ kʷ    	kʷ ɔ kʷ    	æ a t̪ ɸ    	kʷ uː l a    	kʷ a ɒ v    	ⁿt ɒ ⁵ kʲ i ⁵    	ŋ̥ uː z ũ ʐ    	tʃ v ẽː a    	q i ɭ i kʷ    	j ɛ̃ l a aː̈ dʲː ŋ̥    		e d̪ː q ɭ i f    		ŋ̥ a ʐ b    	ẽː dː uː kʷ t̪ ɨː ŋ̥    	ʝ eː ¹ r eː ¹    		ʝ i̟ ⁵ ɖʱ i ⁵ j ɐi ¹ w    		d æ ɭ kʷ i h    	j ɛ̃ q oːu ⁿdz z    			ɣ ʌ̃ ʈʂʰ tɕ a n̩    	ŋ̥ j ɛ̃ eː kʷ ŋ̥    	kʷ a kʷ uː ɕ øː    		ɸ ɨː kʷ    	ʑ ɛ ¹ l ɛ ¹    	uː h ɴ    		i dː øː    	v ɛ tɕ t̪ ɔ ŋ̥    		a̠ ˀɣ χ ɔ ɭ i h    	kʷ uː l a    	ɒ ŋ̥    	v uː v    		a d̪ əː l ¹    
4074	-5,09909909909893	140,720720720722	v r au tʃ k o    	p i̠ p i̱ tʼ    	a k l̥    		ç ɔ ʎ ɯː m    	p t i̱ d̪ː ɯː    ɔ p ɯː ʃ k ɯː    		tʃ i̱ ç i̠ n    	ẽː ð pː    		b ɴ ɔ k ɯː    		k ɑ ħ pː    	c u ʄ u t    	sʲ i k ə̆    	d ɔ ɖ d ɯː    		u k tʃ i̱    	i sʲ ɬ ɪ    	r u x    	u x o    	u x o    	ɖ ɯː m    	ð ä k pf u u ð lˠ    	x ẽ ɴ    	m ɒ ɖ    	a ɣ n    		pː i r̃    		x v ɤ ç tʃ ɯː    	k õ r k    	p ɤ h i̠ n    	d ɯː m    		ɴ i̠ h i̱ n    	k ɔ ˀp ɯː    	dʰ u pː    	ç lˠ ɯː v ɯː    		n̪ uː m    	ç ɔ pː    				k ɔ ʎ ɯː n o    	d t ɔ̆ t ɪ    		h i̠ ɬ ɯː    	tʃ i̱ ç i̠ n d ç ɔ p    		v ɤ ʃ k ɯː    	aː k aː    		m i̠ ˀp i̱ tʼ    			au m ɔˀ    	v ç ɯː t    		n ɔ ʃ t    		n ɔˀ    	i̱ d i̱ n    	ɬ ɒ tʰ c ə m u    	nː aː ⁵ b ɑ ⁵    	i̱ tʃ ç v i̠ n    		aː̈ sʲ ɬ    	k ç ɤ ç ɤ tʼ    	ɕː ũ rː    		v i̱ dʲ ɯː    	n̪ aːi m    	ʏ c u s ɬ ɪ    		r v̩ ɯː    	m ɯː k ɤ pː    	p u i̠ ʃ k    		ⁿt aɔ ʄ ei d pː    		r lˠ ɤ n ɬ ɔˀ    	ui v n    	ɔ p ɯː ʃ k ɯː    	t u ɖ    	t ɔ ɴ au    				a vʲ t    	h i ⁵ ŋ cː a ⁵    		dʰ ŋ aː pː    	ɛ ɠ z̩    	k ɯː k v o    		k ɔ ɖ    		
4947	-7,35135135135118	145,225225225226		tsʲ oː ⁵ k ãː ⁵    	ŋ ṳ ŋ ⁵ o m ⁵ ⁿt iɛ ⁵    	ⁿt ⁵ ɛ r ə ¹⁵    	ⁿt ɛ ¹ i r ¹    	ŋ i ⁵ r o ¹    	t ɔ ɖʱ ⁵ ɔ ⁵    		ŋ ə˞ r ⁵ i ⁵    	ⁿt i ¹ i r ⁵    	f ɛ ¹ f ɛ ¹    		ʑ ɛː n ⁿt    		j e ⁵ j    	cç ə ¹    	i̱ ⁿt ⁵    	gʰ ʊ ⁵ qʼ tsˀ i ¹    	d̥ ∼ ə ¹⁵    qʼ æ    	ŋ ɔ ⁵ lʷ    	gʰ ʊ ¹ ɛ j ∼ ¹⁵    	tsʲ oː ⁵ k ãː ⁵    	d̥ ∼ ə ¹⁵    		e m ¹    	m ə qʼ ⁵ i ⁵    		qʼ iɛ ¹ qʼ ʊ ¹    i ɖʱ ⁵ r o ¹    	tsʲ ɛ ¹ tsˀ i ¹    		f i ⁵ r ⁵ r i i ⁵    		t ɨ    	qʼ æ    	ⁿt o ¹ r j o ¹ w    		gʰ ʊ ⁵ m ⁿt i ⁵ i r ⁵    	i̱ cç ¹ dʱ e ʈʰ ¹    	ⁿt o ¹ ŋ    	m ə ⁵    ɣ iː ⁵    		i gʰ ¹ vː i ⁵    eˀ gʰ ¹ vː eˀ ⁵    			iɛ lʷ ⁵ j    	ŋ ʊ ¹ ɓ ŋ ɛ ¹    	vː ɑi ⁵    	ŋ ɔ ¹ lʷ tsˀ i ⁵    ŋ ɔ ¹ lʷ tsˀ eˀ ⁵    				ə ɓ ⁵ qʼ i ⁵    	χ ɛː ʈʂ n ʊ ɣ ou    		gʰ ¹ ʊ tsʲ qʼ iɛ ⁵    		i dʱ ⁵ j ∼ ɛ ¹    	m i ⁵ j ∼ ɛ ¹    	ɓ i ¹ qʼ tsʲ ɛ ¹    	t ʊ ¹ lʷ    		ɑi qʼ ¹ qʼ ɛ ¹    			χ ɛː ʈʂ n ʊ ɣ ou    	ɓ ɒ ⁵ vː i ⁵    	ŋ i ⁵ r e ⁵¹ j    		ŋ ə ¹⁵ j    i ɖʱ ⁵ r o ¹    		tsʲ ʊ ⁵ m tsʲ ə ⁵ tsˀ iɛ ⁵    	cç ɑi ¹    	tsʲ ɑi ⁵    	ɓ iɛ ¹ ɓ ŋ iɛ ¹ r i ⁵    	ɓ ɔ ¹ r ɔ ⁵    	ŋ ¹ iɛ iɛ r ¹    ŋ ṳ ŋ ⁵ o m ⁵ ⁿt iɛ ⁵    	ŋ ʊ ⁵ qʼ    ɓ ¹ ɔ ɔ r ⁵    	gʰ ʊ ⁵ qʼ tsˀ i ¹    		ɓ ɔ ¹ r ɔ ⁵    			d̥ ɔ ∼ ⁵ qʼ j ɛ ¹    	ŋ iɛ ¹ j o ¹ m    	gʰ ʊ ⁵ ɛ f ¹    				tsʲ ɛ ¹ vː ɛ ¹    		i ɖʱ ⁵ r o ¹    	i ⁵ gʰ ŋ ŋ ʊ ⁵    		gʰ ⁵ ʊ r i ⁵    	zʲ ē ⁵ i n ⁵    			ŋ i j ⁵ u ⁵¹ ∼    	dʑ o ¹ j    	n e b ʊ ¹    
3624	-5,09909909909893	142,522522522523			lˠ ɯ ⁵ lˠ ɯ ⁵ ʎ ɾ ɑu ⁵    		ɾ ai ¹ r i ¹    	lʲ ʌ ⁵ nʷ ɐ ¹    	t ⁵ ø kʼ ø ⁵    		lʲ əː ⁵ nʷ ʌ ⁵    	pː ʌ ¹ ʌ nʷ ⁵    	f ɛ f ¹ ɛ ¹    		u ɓ r    	pː ⁵ əː əː nʷ ⁵    	i s k i    			m a p    		ɓ aʊ ⁵ w    			ɛ˞ gʱ dʑ ⁵ õː ¹    	⁵ pː î nʷ əi ¹⁵    	ʑ ɔː ¹    	m ã ⁵ ʌ ɣ ⁵    ⁵ pː î nʷ əi ¹⁵    	ɑ p n    		d eː ¹ ʌ t̪ ¹    		f ⁵ ʌ nʷ ʌ ⁵ nʷ ʌ ⁵    		ɔː t    		ɾ ɯ ¹ fː r ɯ ¹ w    		h iˀ ⁵ m pː ʌ ⁵ nʷ ʌ ⁵    	ɓ a ¹ n̪ ɓ e ¹    	ɐ ¹ ɓ lʲ    ɓ ɐ ¹ lʲ    	əi m ⁵    				χ rː ɑi u t    	tsʲ u ⁵ j    ɑu ⁵ w fː    	lˠ iˀ ¹ tɬ i pʼ ¹    		zʲ æ̃ ʐ ɑi t    lˠ ʉ ¹ w ʈ i ⁵    		ɳ ɑi s u tɕ    	tsʲ ɑ wʲ    	əi tsʲ ⁵ ɓ ʌ ⁵    	dz æ t ɣ o ɬː u    	v̥ ¹ eː ɛ˞ dʑ ¹    	h iˀ ¹ əː ɓ d ⁵    		n̪ i ⁵ dz ∼ ɛ ¹    	əi m ⁵    	tsʲ ʌ ¹ ɓ d ɛ ¹    				a t    		ɐ n ɓ ɑi t    		lʲ ⁵ ʌ ɑi nʷ ⁵¹ j    	ɬ ɑ n̪ː    	¹⁵ lʲ əi ɖʐ    		d iˀ ⁵ d m əi ⁵ əː t̪ ⁵    	m əi ¹⁵    	æ̃ d ⁵    	t̪ ɨ̃ m    	zʲ ø qχ ¹ ø ⁵    			ɓ e ⁵ t ʌ ⁵ j ɐ ¹ tsʲ    							h iˀ f ⁵ ɛ ¹    			ɓ eˀ    	d ɛ ¹ ʋ ɛ ¹    		j u dz    	h ʌ ⁵ lʲ lʲ iˀ ⁵    		iˀ lʲ ⁵ ɓ    					ʀˀ ɐ ¹ ʑ    	eˑ ʔ nʲ a ¹    
6074	-5,99999999999983	134,414414414415				χ ɒ ɥ ɒ ɓ    			c ɒ r ɾˠ ɒ    		ɾʲ ɒ bʰ y ɓ    	ⁿt ɒ ʁʷ ɒ    	r̥ r̥ ʊ̃ ʊ̃    	χ ɒ r c ĩː ɓ    		ɥ r̥ ĩː ˀb ɒ kʰ    	ɾˠ ui tː ɒ ʊ̃    	ɾˠ ɒ n̪ ɒ    		ɾˠ ɒ ɬ ɒ    		e ɦ ts e χ    bʰ g ɒ ɒ    		ⁿt ĩː ⁿt ə    	ʁʷ g ĩː ɒ ñ    	i d n ou tʲ    	ⁿts ʊ̃ ʊ̃ ʁʷ ɓ    		n ou c ɑˑ    r̥ c ĩː ə    	ʁʷ g ĩː ɒ ñ    	ɾˠ ĩː ɳ ə    	i ɦ gʱ e    	r̥ ĩː ɥ ə tˀ r̥ ə ɥ ə ɓ    	e n c i n e l    		r ĩː ɓ ɒ    	ə ɥ ɾˠ tˀ ĩː g    		q ĩː g ə ñ    	ⁿts ɒ ɥ ɒ    	ɗ ĩː g aˤ ñ    	ɾʲ ɒ c ui ɓ    						r̥ ĩː ɥ ɾˠ ə    	r̥ ui ɬ ɒ ɓ    ⁿts ui tˀ ɾˠ ɒ    	r̥ c ĩː ə    			ɾˠ ɒ tˀ r̥ ɒ r    	n ou ʁ ou kʰ    		r ɒ tˀ r̥ ɒ ə    	bʱ c i e    	ɒ c ɥ ɾˠ ɒ    	c ɒ g ɒ    	r̥ ɓ ə ʊ̃    	ⁿts ɒ ɬ ə    	bʰ y pʰ ɒ g ɒ ɓ    	ĩː ə χ c ˀb    ɥ r̥ ĩː ˀb ɒ kʰ    	r̥ ĩː c ui ɓ    		r ĩː ñ ə vʲ    		q ɒ ɒ χ tː    	ⁿts ĩː tˀ ɒ ʰp ə tˀ ɒ    				ĩː c ɾˠ ɒ tː    				r̥ ĩː ʁʷ q ɒ r    		χ ɒ ɳ ⁿts ɾˠ ə    	n n ou e kʰ    	ɾˠ ə r̥ ə    	c ɒ ɬ ɒ    		ɒ c ɥ ɾˠ ɒ    	χ ĩː tɬ ɒ ʂ    	ⁿts ɒ ɥ ɒ c ʊ̃    			r ɒ tˀ ɒ    		ɾʲ ɒ r̥ ui ɓ    	ⁿt ĩː ⁿt ə    	r̥ ɒ ɬ ɒ    	c ⁿts ɒ r̥ ĩː ɓ    					r̥ ui g ɒ c ʊ̃    			
8103	-5,09909909909893	143,423423423424			ʊ m ɮʲ ɐ b ɐ d    	ŋ ə̃ n    		k i ⁵ i r ¹    	t i ⁵ k i ⁵    				vʲ œ ¹ vʲ œ ¹    			d̥ ɨ ⁿd eː s̪    			ŋ ɨ t tʼ ɑˑ    	ɔ m d̥    		s ə̃ m ɨ wˤ    	d̥ ɨ tʼ    		t i ⁵ k i ⁵    	ʃ ə̃ j d̥ ə̃ ɾ ɨ ɱ    	m e̱ ¹    	w o j    	ɔ̃ ɮʲ w    	ə ŋ ⁵ nː õ ⁵    	ŋ ã tʼ    		d̥ ã r tʼ ɨ ʒ ɑˑ    	u k r    	ɑ̠ tɕ    	t m ɨ ɑˑ    n ĩ    	ŋ i ¹ r ʈʂ i ¹ g̊    	ɨ mˤ r t r ə̃ n ʃ ə̃ s t ɑˑ    	ə̃ ŋ s ə̃ ɱ    	j ɐ̆ ⁿt    	ə̃ ɱ    	ŋ ã tʼ m ɨ ʒ ɑˑ    				m ã s̪    	w õ ⁵ j    	ɨ ʃ n ʃ    	u ʈʂ ɳ ɳ aːu    	l ɑˑ r̥ ɨ tɕ    		m ə̃ ŋ ɨ l    	ŋ ã ʃ    	aː l ⁵ ʔ i ⁵    			ɑˑ h ¹ n l̪ u ⁵    	r â ɖʐ    	õ s̪ ɨ tʼ    	n â wˤ    	s ɨ ɔ r̥ tʼ    	t əː ¹ m    	ə̃ k ⁵ j æ ⁵¹ ∼    	ə̃ mˤ tʼ    		cçʰ ɑ̠    	ŋ õ    	h ɑˑ ⁵ i r ⁵    	k ⁵ i r e ⁵¹ ʈʂ    	ʈʂ u ʃ    	tʼ â dʰ    		ʔʲ a ⁵ m ʔʲ ⁵ aː l̪ u ⁵    	aː cː ¹    	ɛː l̪ ⁵    		ə̃ l ɨ s t ɑˑ    	o̞ j ɮʲ ɐ̆ b u ⁿt    	k ɑˑ ⁵ n    	sː ɔ    			ŋ ã x    			ŋ ə̃ ɾ ə̃ ʒ ɑˑ    		ã t l ə̃    		ɨ n s̪    		s̪ d̥ eː k    		k ɨ tɕ    		h ɑˑ ⁵ i r ⁵    	j ə̃ s̪ k    			ə̃ ŋ j    	w o ¹ j    ʊ n    	ʃ ɳ ã l ɨ wˤ    
